Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
MAP-002A-ADK — ADK LlmAgent + McpToolset package (Phase 2 follow-up),"**Task ID:** `MAP-002A-ADK`
**Spec:** `tasks/maps/MAP-002A-ADK-agent-package.md`
**Repo status:** Not started
**Priority:** P2
**Phase:** Phase 2 — maps intelligence hardening
**Depends on:** MAP-002
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:maps, phase-2",
MAP-005 — places-proxy edge + places_cache + RLS,"**Task ID:** `MAP-005`
**Spec:** `tasks/maps/MAP-005-places-proxy-cache.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Post-MVP — cost-safe Places at scale
**Depends on:** MAP-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:maps, phase-2",
MAP-006 — Nearby Search + Show nearby on RentalCard,"**Task ID:** `MAP-006`
**Spec:** `tasks/maps/MAP-006-nearby-search.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Post-MVP — Camila cross-sell
**Depends on:** MAP-005, F46
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:maps, phase-2",
MAP-010 — Place autocomplete — Roberto host venue,"**Task ID:** `MAP-010`
**Spec:** `tasks/maps/MAP-010-place-autocomplete-venue.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Post-MVP — events (W3–W4)
**Depends on:** MAP-005, F34
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:maps, phase-2",
MAP-011 — Route previews + commute cards,"**Task ID:** `MAP-011`
**Spec:** `tasks/maps/MAP-011-route-previews.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** MAP-002, MAP-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:maps, phase-2",
MAP-012 — Neighborhood intelligence cards,"**Task ID:** `MAP-012`
**Spec:** `tasks/maps/MAP-012-neighborhood-intelligence.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** MAP-006, MAP-012A
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:maps, phase-2",
MAP-012A — Colombia coverage spike — Places Aggregate vs Insights,"**Task ID:** `MAP-012A`
**Spec:** `tasks/maps/MAP-012A-colombia-aggregate-insights-spike.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP gate
**Depends on:** MAP-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:maps, phase-2",
MAP-023 — Static Maps API — event location previews + OG images,"**Task ID:** `MAP-023`
**Spec:** `tasks/maps/MAP-023-static-maps-event-previews.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Post-MVP marketing
**Depends on:** MAP-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:maps, phase-2",
OCL-001-core — OpenClaw gateway health stub,"**Task ID:** `OCL-001-core`
**Spec:** `tasks/openclaw/tasks/OCL-001-core-gateway-health.md`
**Repo status:** Open
**Priority:** P0
**Phase:** OCL-0
**Depends on:** —
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-002-core — Supabase openclaw_jobs + automation_approvals,"**Task ID:** `OCL-002-core`
**Spec:** `tasks/openclaw/tasks/OCL-002-core-jobs-schema.md`
**Repo status:** Open
**Priority:** P0
**Phase:** OCL-0
**Depends on:** F08
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-003-core — Mastra openclaw-approval-workflow,"**Task ID:** `OCL-003-core`
**Spec:** `tasks/openclaw/tasks/OCL-003-core-approval-workflow.md`
**Repo status:** Open
**Priority:** P0
**Phase:** OCL-0
**Depends on:** OCL-002-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-004-core — ClawHub safety policy — no unvetted skills,"**Task ID:** `OCL-004-core`
**Spec:** `tasks/openclaw/tasks/OCL-004-core-clawhub-safety.md`
**Repo status:** Open
**Priority:** P0
**Depends on:** —
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-005-core — OPENCLAW_DISABLED kill switch,"**Task ID:** `OCL-005-core`
**Spec:** `tasks/openclaw/tasks/OCL-005-core-kill-switch.md`
**Repo status:** Open
**Priority:** P0
**Depends on:** OCL-001-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-006-core — OpenClaw VPS — Gemini provider + model routing,"**Task ID:** `OCL-006-core`
**Spec:** `tasks/openclaw/tasks/OCL-006-core-gemini-vps-config.md`
**Repo status:** Open
**Priority:** P0
**Phase:** OCL-0
**Depends on:** OCL-001-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-007-core — Rotate OpenClaw gateway token,"**Task ID:** `OCL-007-core`
**Spec:** `tasks/openclaw/tasks/OCL-007-core-gateway-token-rotate.md`
**Repo status:** Open
**Priority:** P0
**Depends on:** OCL-001-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-008-mvp — Admin approvals UI — OpenClaw job preview,"**Task ID:** `OCL-008-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-008-mvp-admin-approvals-ui.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-003-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-009-mvp — OpenClaw web_search — Gemini grounding provider,"**Task ID:** `OCL-009-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-009-mvp-gemini-web-search.md`
**Repo status:** Open
**Priority:** P1
**Phase:** OCL-0
**Depends on:** OCL-006-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-010-mvp — mde-tour-enrich (+ mde-enrichment) SKILL.md pack,"**Task ID:** `OCL-010-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-010-mvp-tour-enrich-skill.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-004-core, OCL-006-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-011-mvp — Mastra enqueueOpenClawJob tool,"**Task ID:** `OCL-011-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-011-mvp-enqueue-openclaw-job.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-003-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-012-mvp — E2E — reject OpenClaw job without approval,"**Task ID:** `OCL-012-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-012-mvp-e2e-approval-safety.md`
**Repo status:** Open
**Priority:** P0
**Depends on:** OCL-003-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-013-mvp — Coffee tours — source crawler + verify,"**Task ID:** `OCL-013-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-013-mvp-coffee-tour-crawler.md`
**Repo status:** Open
**Priority:** P0
**Depends on:** CTI-001A, CTI-003, OCL-009-mvp, OCL-010-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:openclaw, phase-1",
OCL-014-postmvp — Restaurants — menu PDF/HTML extraction,"**Task ID:** `OCL-014-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-014-postmvp-menu-extraction.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-010-mvp, OCL-009-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-015-postmvp — Cafés — Instagram / creator discovery crawl,"**Task ID:** `OCL-015-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-015-postmvp-instagram-cafe-discovery.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-010-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-016-postmvp — Events — venue intelligence browser enrich,"**Task ID:** `OCL-016-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-016-postmvp-venue-intelligence.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-010-mvp, OCL-017-postmvp, OCL-030-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-017-postmvp — Events — directory / calendar import,"**Task ID:** `OCL-017-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-017-postmvp-event-directory-import.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-010-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-018-postmvp — Real estate — listing enrichment crawl,"**Task ID:** `OCL-018-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-018-postmvp-listing-enrichment.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-010-mvp, OCL-003-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-019-postmvp — Marketing — sponsor prospect research,"**Task ID:** `OCL-019-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-019-postmvp-sponsor-prospect-research.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-009-mvp, MAP-002D, OCL-030-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-020-postmvp — Marketing — local SEO / competitor page monitor,"**Task ID:** `OCL-020-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-020-postmvp-seo-competitor-monitor.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-009-mvp, OCL-010-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-021-postmvp — Correlation IDs Mastra ↔ OpenClaw,"**Task ID:** `OCL-021-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-021-postmvp-correlation-observability.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-011-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-022-advanced — WhatsApp templates + number allowlist,"**Task ID:** `OCL-022-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-022-advanced-wa-templates-allowlist.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-029-advanced
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-023-advanced — Events — T-24h reminder WA drafts,"**Task ID:** `OCL-023-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-023-advanced-event-reminders.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-017-postmvp, OCL-022-advanced, G1-G5
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-024-advanced — Events — sponsor ROI browser screenshots,"**Task ID:** `OCL-024-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-024-advanced-sponsor-roi-screenshots.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-010-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-025-advanced — Events — external publish draft (outbox),"**Task ID:** `OCL-025-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-025-advanced-external-publish-draft.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-003-core, OCL-017-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-026-advanced — Contests — WA leaderboard / reminder drafts,"**Task ID:** `OCL-026-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-026-advanced-contest-wa-ops.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** G1-G5, OCL-029-advanced, OCL-022-advanced
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-027-advanced — Marketing — Postiz approved post handoff,"**Task ID:** `OCL-027-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-027-advanced-postiz-handoff.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-003-core, OCL-032-postmvp, OCL-034-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-030-postmvp — Apify OpenClaw plugin sandbox,"**Task ID:** `OCL-030-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-030-postmvp-apify-plugin-sandbox.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-004-core, OCL-005-core, OCL-007-core, OCL-008-mvp, OCL-012-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-031-postmvp — Events — sponsor decision-maker map,"**Task ID:** `OCL-031-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-031-postmvp-event-sponsor-decision-maker-map.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-019-postmvp, OCL-030-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-032-postmvp — Events — sponsor proposal draft pack,"**Task ID:** `OCL-032-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-032-postmvp-sponsor-proposal-draft-pack.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-029-advanced, OCL-019-postmvp, OCL-031-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-033-postmvp — Events — vendor recruitment research,"**Task ID:** `OCL-033-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-033-postmvp-event-vendor-recruitment-research.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-016-postmvp, OCL-030-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-034-postmvp — Events — Instagram/Facebook social intelligence,"**Task ID:** `OCL-034-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-034-postmvp-event-social-intelligence.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-030-postmvp, EVP-015-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-035-advanced — Events — approved WhatsApp/Postiz/social campaign execution,"**Task ID:** `OCL-035-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-035-advanced-approved-channel-campaigns.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-022-advanced, OCL-027-advanced, OCL-032-postmvp, OCL-034-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-036-postmvp — Events — repo and OpenClaw skill intake audit gate,"**Task ID:** `OCL-036-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-036-postmvp-repo-skill-intake-audit.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-004-core, OCL-030-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-037-postmvp — Events — event planner checklist adapter,"**Task ID:** `OCL-037-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-037-postmvp-event-planner-checklist-adapter.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-036-postmvp, OCL-016-postmvp, OCL-033-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-038-postmvp — Events — public event source connector adapters,"**Task ID:** `OCL-038-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-038-postmvp-event-source-connector-adapters.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-017-postmvp, OCL-030-postmvp, OCL-036-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-039-postmvp — Events — source health and connector drift monitor,"**Task ID:** `OCL-039-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-039-postmvp-event-source-health-monitor.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-021-postmvp, OCL-038-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-1",
OCL-040-postmvp — Events — event page QA crawler,"**Task ID:** `OCL-040-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-040-postmvp-event-page-qa-crawler.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-012-mvp, OCL-016-postmvp, OCL-017-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:openclaw, phase-1",
OCL-041-advanced — Events — live ops ticker and role-specific event updates,"**Task ID:** `OCL-041-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-041-advanced-live-ops-ticker.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-022-advanced, OCL-023-advanced, OCL-035-advanced, OCL-040-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:openclaw, phase-1",
OCL-042-mvp — ClawEvents + OpenClaw — Medellín event ingest worker,"**Task ID:** `OCL-042-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-042-mvp-clawevents-medellin-automation.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP — after EVP-020..026
**Depends on:** EVP-020-mvp-discovered-events-data-model, EVP-022-mvp-event-discovery-workflow
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:openclaw, phase-2",
OPS-ANDRES-G1 — Andrés G1 — manual Stripe test payment → paid row + wallet QR,"**Task ID:** `OPS-ANDRES-G1`
**Spec:** `todo.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** phase-1
**Depends on:** —
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:ops, phase-1",
CAFE-001 — Cafe booking requests schema + RLS,"**Task ID:** `CAFE-001`
**Spec:** `tasks/screens/CAFE-001-booking-requests-schema.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** MVP Phase 1 (SCREEN-021 Phase C)
**Depends on:** VEC-002
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:screens, phase-1",
SCREEN-002 — Chat Nav Rail + Thread List,"**Task ID:** `SCREEN-002`
**Spec:** `tasks/screens/SCREEN-002-chat-nav-rail.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** MVP Phase 1
**Depends on:** SCREEN-001, F48
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:screens, phase-1",
SCREEN-010 — Map Exploration Right Panel,"**Task ID:** `SCREEN-010`
**Spec:** `tasks/screens/SCREEN-010-map-exploration-panel.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** MVP Phase 1 polish
**Depends on:** MAP-001, MAP-008, F49, SCREEN-018
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:screens, phase-1",
SCREEN-017 — Login / Signup Polish,"**Task ID:** `SCREEN-017`
**Spec:** `tasks/screens/SCREEN-017-login-signup-polish.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** MVP Phase 2
**Depends on:** F08
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:screens, phase-2",
SCREEN-018 — Mobile Responsive 3-Panel Shell,"**Task ID:** `SCREEN-018`
**Spec:** `tasks/screens/SCREEN-018-mobile-responsive-shell.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** MVP Phase 1
**Depends on:** F48, MAP-007B, SCREEN-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:screens, phase-1",
VEC-001 — pgvector inventory + duplicate HNSW cleanup plan,"**Task ID:** `VEC-001`
**Spec:** `tasks/vector/VEC-001-pgvector-inventory-and-duplicate-index-plan.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** Vector V1
**Depends on:** —
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:vector, phase-1",
VEC-002 — Semantic V1 schema + RLS plan,"**Task ID:** `VEC-002`
**Spec:** `tasks/vector/VEC-002-semantic-v1-schema-and-rls-plan.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** Vector V1
**Depends on:** VEC-001, VEC-003
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:vector, phase-1",
VEC-003 — Model registry + embedding contract,"**Task ID:** `VEC-003`
**Spec:** `tasks/vector/VEC-003-model-registry-and-embedding-contract.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** Vector V1
**Depends on:** VEC-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:vector, phase-1",
VEC-004 — Embedding text builders,"**Task ID:** `VEC-004`
**Spec:** `tasks/vector/VEC-004-embedding-text-builders.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** Vector V1
**Depends on:** VEC-002, VEC-003
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:vector, phase-1",
VEC-005 — Golden semantic eval harness,"**Task ID:** `VEC-005`
**Spec:** `tasks/vector/VEC-005-semantic-eval-harness.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** Vector V1
**Depends on:** VEC-002, VEC-003, VEC-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:vector, phase-1",
VEC-006 — Search logs + observability,"**Task ID:** `VEC-006`
**Spec:** `tasks/vector/VEC-006-semantic-search-logs-and-observability.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Vector V1
**Depends on:** VEC-002, VEC-005
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:vector, phase-1",
VEC-007 — Coffee-tour vector compatibility,"**Task ID:** `VEC-007`
**Spec:** `tasks/vector/VEC-007-coffee-tour-vector-compatibility.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Vector V1
**Depends on:** VEC-002, VEC-004, VEC-005, VEC-006, CTI-001A, CTI-010
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:vector, phase-1",
